                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67876,                   0.68,                      1,                0.61768,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                0.67797,                   0.72,                      1,                0.57227,             8.3631e-05,             8.3631e-05,             8.3631e-05
                      3,                0.64107,                    0.8,                      1,                0.54834,             0.00011453,             0.00011453,             0.00011453
                      4,                0.58237,                   0.88,                      1,                0.53906,             0.00013552,             0.00013552,             0.00013552
                      5,                0.54351,                   0.88,                      1,                0.53516,             0.00014663,             0.00014663,             0.00014663
                      6,                0.52468,                   0.84,                      1,                0.51709,             0.00014783,             0.00014783,             0.00014783
                      7,                0.43186,                   0.84,                      1,                0.50293,             0.00013914,             0.00013914,             0.00013914
                      8,                0.37442,                   0.84,                      1,                0.50195,             0.00012056,             0.00012056,             0.00012056
                      9,                 0.4242,                   0.88,                      1,                0.49438,             9.2077e-05,             9.2077e-05,             9.2077e-05
                     10,                0.38353,                   0.92,                      1,                0.48315,               5.37e-05,               5.37e-05,               5.37e-05
